,,,,,Relative Position (rads),,,,,,Absolute Position (rads),,,,,,Rate (rads/sec),,,,,,Torque (N-m),,,,,
Time,Motor Voltage (V),Spring Constant (N/rad), Damper Constant (N/rad/s), Gear Ratio,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6

4.9025,12,6,0.04,12,0.00168687,0.00172192,0.00172192,0.00172502,0.00163346,0.00172192,0.168926,1.21609,1.21609,0.168888,0.168979,1.21609,16.5904,16.5939,16.5939,16.6091,16.5952,16.5939,0.000100019,0.000172899,0.000172899,-0.000415957,-0.000410388,0.000172899
5.0026,12,6,0.04,12,0.0183847,0.00333647,0.0033441,0.125906,0.073385,0.00333647,1.62072,2.68297,2.68296,1.5132,1.56572,2.68297,16.7015,13.7678,13.769,31.5877,24.4604,13.7678,-0.000732697,0.0263251,0.0263251,0.048946,0.0189135,0.0263251
5.1027,12,6,0.04,12,0.00168204,0.00173234,0.00194597,0.00168204,0.00168204,0.00186204,3.16891,4.21606,4.21585,3.16891,3.16891,4.21593,16.6082,16.6161,16.6596,16.6082,16.6082,16.6381,-0.000348039,-0.000362364,-0.000822416,-0.000348039,-0.000348039,-0.000465818
5.2028,12,6,0.04,12,-0.00044698,0.0754853,0.185028,-0.00044698,-0.00044698,0.090973,4.66694,5.63821,5.52867,4.66694,4.66694,5.62272,11.4854,16.3186,8.1112,11.4854,11.4854,7.28076,-0.00223558,0.26003,1.24558,-0.00223558,-0.00223558,0.714471
5.3028,12,6,0.04,12,0.00265906,0.00223635,0.00223635,0.00527595,0.00377295,0.00223635,6.16356,0.927999,0.927999,6.16095,6.16245,0.927999,16.8107,16.7174,16.7174,17.3656,17.0468,16.7174,-0.00176719,-0.000573023,-0.000573023,-0.00826187,-0.00452843,-0.000573023
5.4029,12,6,0.04,12,0.0761977,-0.00099963,-0.00099963,0.146838,0.068019,-0.00099963,1.34954,2.47394,2.47394,1.2789,1.35772,2.47394,8.42807,12.261,12.2605,6.73968,7.09447,12.261,0.603871,-0.0126303,-0.0126096,1.09525,0.608143,-0.0126303
5.503,12,6,0.04,12,0.00308947,0.00410871,0.0130198,0.00308947,0.00308947,0.00851087,2.87943,3.92561,3.9167,2.87943,2.87943,3.92121,16.7748,16.9881,18.8731,16.7748,16.7748,17.9181,0.000474392,-0.00194388,-0.0238748,0.000474392,0.000474392,-0.0127281
5.603,12,6,0.04,12,0.000365535,0.000362436,0.0694619,0.000350277,0.000335018,0.000362436,4.43643,5.48363,5.41453,4.43645,4.43646,5.48363,15.6382,15.6352,8.40375,15.6357,15.6332,15.6352,-0.0108565,-0.0107557,0.693098,-0.0108502,-0.0108422,-0.0107557
5.7031,12,6,0.04,12,0.0192466,0.00355742,0.00355742,0.106718,0.0563102,0.00355742,5.86675,0.646454,0.646454,5.77928,5.82969,0.646454,17.4297,14.2597,14.2597,31.7298,23.2923,14.2597,-0.00404376,0.0286195,0.028619,-0.0512232,-0.0161653,0.028619
5.8032,12,6,0.04,12,0.00166273,0.00161385,0.0017817,0.00166273,0.00166273,0.00169015,1.17133,2.21858,2.21841,1.17133,1.17133,2.21851,16.5901,16.5924,16.6204,16.5901,16.5901,16.6062,9.45682e-005,-0.000293215,-0.000402926,9.45682e-005,9.45682e-005,-0.000385988
